focal_apis	category	category_orthogroups	category_callable_sites	category_strict_sites	category_orthogroups_with_hit	site_fisher_odds_ratio	site_fisher_p_two_sided	gene_fisher_odds_ratio	gene_fisher_p_two_sided	warning	site_fisher_bh_q	gene_fisher_bh_q
Apis_dorsata	UDP_glycosyltransferase	7	3398	4	3	2.840070945021089	0.05490566050583993	3.5462577962577964	0.10743993580836211	unstratified exploratory test; annotation categories include false positives	0.31033634198953003	0.5149137785738079
Apis_dorsata	V_type_proton_ATPase	15	5586	0	0	0.0	0.18404784007263988	0.0	0.08971159141833632	unstratified exploratory test; annotation categories include false positives	0.7131029118859766	0.5149137785738079
Apis_dorsata	aldo_keto_reductase	2	640	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	aquaporin	4	1110	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	carboxylesterase_or_esterase	48	29999	12	10	0.962891759024431	1.0	1.2441357572203489	0.5661978840851628	unstratified exploratory test; annotation categories include false positives	1.0	0.9946719585279887
Apis_dorsata	claudin_septate	3	667	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	contactin	3	3491	0	0	0.0	0.4130116864764062	0.0	1.0	unstratified exploratory test; annotation categories include false positives	0.9559887774054442	1.0
Apis_dorsata	cytochrome_P450	22	11280	9	7	1.9258917312580404	0.058385000573330015	2.2091267083622887	0.08922997791502317	unstratified exploratory test; annotation categories include false positives	0.31451336072190494	0.5149137785738079
Apis_dorsata	epoxide_hydrolase	2	857	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	glutathione_S_transferase	7	1699	1	1	1.4175978098239583	0.5063418221457915	0.7867358708189158	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	lipophorin	2	4158	1	1	0.5787521595556236	1.0	4.7238754325259515	0.3190383775049735	unstratified exploratory test; annotation categories include false positives	1.0	0.8824465760775863
Apis_dorsata	major_facilitator	14	7610	4	3	1.2662252759425319	0.5648644009450288	1.2882252882252883	0.7225831676663603	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	major_facilitator_transporter	14	7610	4	3	1.2662252759425319	0.5648644009450288	1.2882252882252883	0.7225831676663603	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	mucin	32	38482	25	13	1.5715793548671066	0.03147707203675924	3.250596834025049	0.0017336123264486802	unstratified exploratory test; annotation categories include false positives	0.2046009682389351	0.03387652463959926
Apis_dorsata	organic_anion_transport	7	5220	2	2	0.9223970576097489	1.0	1.8897506925207757	0.35304096860723844	unstratified exploratory test; annotation categories include false positives	1.0	0.9040419327513477
Apis_dorsata	organic_anion_transporter	7	5220	2	2	0.9223970576097489	1.0	1.8897506925207757	0.35304096860723844	unstratified exploratory test; annotation categories include false positives	1.0	0.9040419327513477
Apis_dorsata	peritrophic_matrix_chitin_binding	9	2047	0	0	0.0	1.0	0.0	0.3748595410648715	unstratified exploratory test; annotation categories include false positives	1.0	0.9094109498808289
Apis_dorsata	short_chain_dehydrogenase	2	660	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	snakeskin	2	288	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	sodium_hydrogen_exchange	6	3825	1	1	0.6291936097375428	1.0	0.9442214532871972	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	sodium_potassium_ATPase	7	4210	2	1	1.144025894396028	0.6956557006058119	0.7867358708189158	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	sulfotransferase	15	5957	1	1	0.40379259533054024	0.5292141023303114	0.33677706376668315	0.4933519650531194	unstratified exploratory test; annotation categories include false positives	1.0	0.9893791564256167
Apis_mellifera	ABCB_P_glycoprotein	3	2179	6	3	2.165441697051223	0.06290267214438099	inf	0.049244300491503794	unstratified exploratory test; annotation categories include false positives	0.31451336072190494	0.3891773607132682
Apis_mellifera	ABCC_MRP	7	10250	15	6	1.1491300137665206	0.5769722107186004	10.384539147670962	0.011625560864342853	unstratified exploratory test; annotation categories include false positives	1.0	0.1687331757382396
Apis_mellifera	ABCG_half_transporter	8	5032	6	3	0.935686736661667	1.0	1.0366336633663367	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_mellifera	ABC_or_multidrug_transporter	32	30515	36	18	0.9254019992857996	0.7469976464487416	2.2285714285714286	0.026676777395455938	unstratified exploratory test; annotation categories include false positives	1.0	0.2886116108018841
Apis_mellifera	UDP_glycosyltransferase	7	3398	20	5	4.652579938937099	3.453567454454488e-08	4.324636723910172	0.1082041461658099	unstratified exploratory test; annotation categories include false positives	2.2448188453954176e-06	0.5149137785738079
Apis_mellifera	V_type_proton_ATPase	15	5586	0	0	0.0	0.0019275370493992408	0.0	0.0018241205575168832	unstratified exploratory test; annotation categories include false positives	0.01927537049399241	0.03387652463959926
Apis_mellifera	aldo_keto_reductase	2	640	3	1	3.6928727207439365	0.0495468494188978	1.7279023746701847	1.0	unstratified exploratory test; annotation categories include false positives	0.2927768374753052	1.0
Apis_mellifera	aquaporin	4	1110	1	1	0.7067567850493199	1.0	0.5757475813544415	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_mellifera	carboxylesterase_or_esterase	48	29999	63	16	1.6562132160447869	0.00023305782051825442	0.8631090487238979	0.7641309936200611	unstratified exploratory test; annotation categories include false positives	0.0033663907408192305	1.0
Apis_mellifera	claudin_septate	3	667	0	0	0.0	1.0	0.0	0.30329103015308595	unstratified exploratory test; annotation categories include false positives	1.0	0.8680074004870563
Apis_mellifera	contactin	3	3491	2	1	0.44914739818325333	0.3413818310472094	0.8637862796833773	1.0	unstratified exploratory test; annotation categories include false positives	0.9235633170646994	1.0
Apis_mellifera	cytochrome_P450	22	11280	37	16	2.5889982015903183	4.199782024717396e-07	4.626229145950724	0.0006697677104811798	unstratified exploratory test; annotation categories include false positives	1.819905544044205e-05	0.021859996209753742
Apis_mellifera	epoxide_hydrolase	2	857	1	1	0.9156936764364763	1.0	1.7279023746701847	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_mellifera	glutathione_S_transferase	7	1699	4	4	1.850327073521364	0.17363114955571252	2.3052712666446573	0.2688630938630246	unstratified exploratory test; annotation categories include false positives	0.7131029118859766	0.8622511230473386
Apis_mellifera	lipophorin	2	4158	19	2	3.606154766477094	3.0730972007260778e-06	inf	0.13437796415876868	unstratified exploratory test; annotation categories include false positives	9.987565902359752e-05	0.6023839772634458
Apis_mellifera	major_facilitator	14	7610	12	8	1.238434408933408	0.4191643100931563	2.3069972451790632	0.1623483562252648	unstratified exploratory test; annotation categories include false positives	0.9559887774054442	0.6207437149789536
Apis_mellifera	major_facilitator_transporter	14	7610	12	8	1.238434408933408	0.4191643100931563	2.3069972451790632	0.1623483562252648	unstratified exploratory test; annotation categories include false positives	0.9559887774054442	0.6207437149789536
Apis_mellifera	mucin	32	38482	80	21	1.641137899567785	3.922838401018993e-05	3.314288301340094	0.0013163578686907615	unstratified exploratory test; annotation categories include false positives	0.0006374612401655864	0.03387652463959926
Apis_mellifera	organic_anion_transport	7	5220	9	5	1.3543021297770865	0.32807868360031467	4.324636723910172	0.1082041461658099	unstratified exploratory test; annotation categories include false positives	0.9235633170646994	0.5149137785738079
Apis_mellifera	organic_anion_transporter	7	5220	9	5	1.3543021297770865	0.32807868360031467	4.324636723910172	0.1082041461658099	unstratified exploratory test; annotation categories include false positives	0.9235633170646994	0.5149137785738079
Apis_mellifera	peritrophic_matrix_chitin_binding	9	2047	3	2	1.1505302377018425	0.7492973581497093	0.49328368760899277	0.5004760231132359	unstratified exploratory test; annotation categories include false positives	1.0	0.9893791564256167
Apis_mellifera	short_chain_dehydrogenase	2	660	0	0	0.0	1.0	0.0	0.5355273534353906	unstratified exploratory test; annotation categories include false positives	1.0	0.9893791564256167
Apis_mellifera	snakeskin	2	288	0	0	0.0	1.0	0.0	0.5355273534353906	unstratified exploratory test; annotation categories include false positives	1.0	0.9893791564256167
Apis_mellifera	sodium_hydrogen_exchange	6	3825	2	2	0.4098792282390729	0.2557324018024395	0.8637413394919169	1.0	unstratified exploratory test; annotation categories include false positives	0.8847969398856917	1.0
Apis_mellifera	sodium_potassium_ATPase	7	4210	8	5	1.4929595046191686	0.2707574110805854	4.324636723910172	0.1082041461658099	unstratified exploratory test; annotation categories include false positives	0.9025247036019513	0.5149137785738079
Apis_mellifera	sulfotransferase	15	5957	5	3	0.658198612453546	0.4651765369552804	0.43135313531353137	0.2828336592770616	unstratified exploratory test; annotation categories include false positives	1.0	0.8622511230473386
Apis_cerana	ABCB_P_glycoprotein	3	2179	3	1	1.3263466482554107	0.49803300789746785	1.0263935031376892	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_cerana	ABCC_MRP	7	10250	18	5	1.6946247414796358	0.03071675795483643	5.139556377079482	0.04196607762757308	unstratified exploratory test; annotation categories include false positives	0.2046009682389351	0.3891773607132682
Apis_cerana	ABCG_half_transporter	8	5032	4	2	0.7650532289475771	0.8252286159358841	0.6840226489414082	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_cerana	ABC_or_multidrug_transporter	32	30515	47	13	1.4883434012279182	0.00943387593226147	1.4064750307359053	0.3492383637599865	unstratified exploratory test; annotation categories include false positives	0.0876002765138565	0.9040419327513477
Apis_cerana	UDP_glycosyltransferase	7	3398	8	4	2.2719786064601943	0.02775033335095442	2.739591032273959	0.22655127705130046	unstratified exploratory test; annotation categories include false positives	0.2046009682389351	0.8414761719048303
Apis_cerana	V_type_proton_ATPase	15	5586	1	1	0.17206726549679624	0.03634004622612297	0.14631123767336393	0.028861161080188408	unstratified exploratory test; annotation categories include false positives	0.22496219092361838	0.2886116108018841
Apis_cerana	aldo_keto_reductase	2	640	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_cerana	aquaporin	4	1110	4	3	3.4808061253181974	0.029722108899439787	6.1640192094569635	0.10600273152706671	unstratified exploratory test; annotation categories include false positives	0.2046009682389351	0.5149137785738079
Apis_cerana	carboxylesterase_or_esterase	48	29999	27	19	0.8658106373215317	0.5285037179162355	1.3473519650431194	0.3546626043870672	unstratified exploratory test; annotation categories include false positives	1.0	0.9040419327513477
Apis_cerana	claudin_septate	3	667	0	0	0.0	1.0	0.0	0.5555744493774617	unstratified exploratory test; annotation categories include false positives	1.0	0.9893791564256167
Apis_cerana	contactin	3	3491	2	2	0.5512160414780282	0.5963895989143375	4.107828655834564	0.2515829995604955	unstratified exploratory test; annotation categories include false positives	1.0	0.8622511230473386
Apis_cerana	cytochrome_P450	22	11280	20	13	1.7113272174552965	0.026065534062455667	2.974580809953446	0.011681527551108895	unstratified exploratory test; annotation categories include false positives	0.2046009682389351	0.1687331757382396
Apis_cerana	epoxide_hydrolase	2	857	3	1	3.380456425920198	0.06111342238063686	2.053156146179402	0.5478666999755211	unstratified exploratory test; annotation categories include false positives	0.31451336072190494	0.9893791564256167
Apis_cerana	glutathione_S_transferase	7	1699	1	1	0.5664071448902095	1.0	0.341885074443214	0.43849072585908333	unstratified exploratory test; annotation categories include false positives	1.0	0.9500632393613472
Apis_cerana	lipophorin	2	4158	6	1	1.3904948249697342	0.33693728155912367	2.053156146179402	0.5478666999755211	unstratified exploratory test; annotation categories include false positives	0.9235633170646994	0.9893791564256167
Apis_cerana	major_facilitator	14	7610	8	4	1.0122833885674598	0.8586435158384191	0.8208425720620842	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_cerana	major_facilitator_transporter	14	7610	8	4	1.0122833885674598	0.8586435158384191	0.8208425720620842	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_cerana	mucin	32	38482	71	24	1.7890147358808757	7.231761863460786e-06	6.204393149664929	1.1503592839309147e-06	unstratified exploratory test; annotation categories include false positives	0.00018802580844998044	0.0001495467069110189
Apis_cerana	organic_anion_transport	7	5220	2	1	0.36843872439680625	0.19198924550776295	0.341885074443214	0.43849072585908333	unstratified exploratory test; annotation categories include false positives	0.7131029118859766	0.9500632393613472
Apis_cerana	organic_anion_transporter	7	5220	2	1	0.36843872439680625	0.19198924550776295	0.341885074443214	0.43849072585908333	unstratified exploratory test; annotation categories include false positives	0.7131029118859766	0.9500632393613472
Apis_cerana	peritrophic_matrix_chitin_binding	9	2047	1	1	0.4700346836128571	0.7301730987483028	0.2563215208564046	0.28721701083964524	unstratified exploratory test; annotation categories include false positives	1.0	0.8622511230473386
Apis_cerana	short_chain_dehydrogenase	2	660	1	1	1.4597321058578365	0.4963274413118349	2.053156146179402	0.5478666999755211	unstratified exploratory test; annotation categories include false positives	1.0	0.9893791564256167
