id	baseMean	baseMean_CK	baseMean_MZM	foldChange(MZM/CK)	log2FoldChange	pval	padj
LOC111349527	123.4682318	71.18795975	175.7485038	2.468795347	1.303807248	0.007597868	0.407794222
LOC111352165	4229.425657	2438.982409	6019.868906	2.468188735	1.303452717	0.000493085	0.089446216
LOC111358092	366.8083854	211.6619135	521.9548574	2.465983836	1.302163343	0.023122753	0.673649301
LOC111356505	1521.35308	880.4505337	2162.255627	2.455851344	1.296223235	0.014983562	0.547988177
LOC111359859	16.36561263	9.475268491	23.25595676	2.45438499	1.295361565	0.029037165	0.753763559
LOC111359064	1684.448305	978.6959575	2390.200652	2.442230024	1.288199089	0.019426122	0.621427075
LOC111348898	1087.762425	632.0690904	1543.45576	2.441909885	1.288009961	0.000111072	0.03875025
LOC111350239	23.71106947	13.78101806	33.64112088	2.44112015	1.287543305	0.010843385	0.474355617
LOC111349195	61.31319418	35.64379941	86.98258896	2.440328764	1.287075522	0.010922221	0.476311249
LOC111354773	1273.393296	741.1749323	1805.61166	2.436147772	1.284601647	0.002102523	0.209108316
LOC111351175	478.9890975	279.8440556	678.1341394	2.42325726	1.276947574	2.45e-05	0.017114798
LOC111348751	202.4797578	118.4935396	286.465976	2.417566198	1.273555394	7.38e-05	0.028589412
LOC111350414	124.304388	72.76657806	175.8421979	2.416524214	1.272933451	0.000493541	0.089446216
LOC111354568	153.3292194	90.01238619	216.6460527	2.406847123	1.267144508	0.003642066	0.287147048
LOC111351250	765.214583	449.5061903	1080.922976	2.404689855	1.265850834	0.000273866	0.06164192
LOC111348390	369.9143811	217.3159997	522.5127624	2.404391591	1.26567188	0.000217631	0.053281462
LOC111357569	250.0426861	147.3899917	352.6953804	2.392939821	1.258784116	0.00178857	0.189623725
LOC111364549	1062.514871	627.5270731	1497.502669	2.386355478	1.254808967	0.000102045	0.037443074
LOC111361830	15.96000911	9.453578773	22.46643945	2.376501004	1.248839011	0.03965786	0.856695719
