species	archive_location	deposited_workers
Apis dorsata	China: Guangxi, Chongzuo	7
Apis dorsata	China: Guangxi, Nanning	2
Apis dorsata	China: Hainan, Baoting	4
Apis dorsata	China: Hainan, Qiongzhong	5
Apis dorsata	China: Yunnan, Puer	3
Apis dorsata	China: Yunnan, Xishuangbanna	7
Apis laboriosa	China: Tibet, Linzhi	4
Apis laboriosa	China: Tibet, Rikaze	6
Apis laboriosa	China: Yunnan, Baoshan	6
Apis laboriosa	China: Yunnan, Diqing	4
Apis laboriosa	China: Yunnan, Honghe	9
