relative_path	source_url	size_bytes	sha256	role
population_addendum/inputs/samples/SAMN33097072.xml	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN33097072	2959	38ab45ed88f50c39f7b5582c55afd9e9984ef9489671d4516107dd2d07b888f9	population_metadata
population_addendum/inputs/samples/SAMN33097073.xml	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN33097073	2959	ec582150bb9fdd763a40d06d1ca74b2c8a9c9df9acb7ca4bb77db7b8f0aee13f	population_metadata
population_addendum/inputs/selected_reads/SRR23343438/SRR23343438_1.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/038/SRR23343438/SRR23343438_1.fastq.gz	807062	5ffb3a66f5411af8373c77bf2759f752a2dfbe41319f49d3c85abab483c1cb79	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343438/SRR23343438_2.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/038/SRR23343438/SRR23343438_2.fastq.gz	807062	a6735be6b7ffed4ca914195c343c28a5bd33dc7d2a4c0e890427c031bf351ccb	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343438/bbduk.log	https://www.ebi.ac.uk/ena/browser/view/SRR23343438	1394	29a9be92c0867b5a62d20b30c57253bc4f0c302d0c8c710226ad4785c5197a4c	collection_record
population_addendum/inputs/selected_reads/SRR23343438/collection.json	https://www.ebi.ac.uk/ena/browser/view/SRR23343438	1580	d40aade521a66c6b63b57f2abdadc975575de6e76c1f6fa19a4ac7a11888f1cb	collection_record
population_addendum/inputs/selected_reads/SRR23343439/SRR23343439_1.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/039/SRR23343439/SRR23343439_1.fastq.gz	519665	2d851b9a4f5c434b1201bc6e822c9e6a20ab9ab78be6bf404045ec1df92adda6	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343439/SRR23343439_2.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/039/SRR23343439/SRR23343439_2.fastq.gz	519665	1d483bec371947d24d9dc9123f3908ffb07d72adf04d4ea28c3e5a64a0786f27	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343439/bbduk.log	https://www.ebi.ac.uk/ena/browser/view/SRR23343439	1388	c3d0b7dfb666267c2162b45056af519071f55e89eedc12296c2f6f54df3c68b9	collection_record
population_addendum/inputs/selected_reads/SRR23343439/collection.json	https://www.ebi.ac.uk/ena/browser/view/SRR23343439	1579	0bb846d1cb3d6174bdc7cc8d6cb8866a24018f3dbfe3fa9924972f0759dc1ef5	collection_record
population_addendum/inputs/selected_reads/SRR23343440/SRR23343440_1.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/040/SRR23343440/SRR23343440_1.fastq.gz	534491	d37f8c0b3bf52c439bbc5c1c784d6363a4b29aab9d8aab90608eae75ebbd1427	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343440/SRR23343440_2.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/040/SRR23343440/SRR23343440_2.fastq.gz	534491	a43781d540a4df9f492034f0adda3ab9fa72923941153bf223a456634b809042	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343440/bbduk.log	https://www.ebi.ac.uk/ena/browser/view/SRR23343440	1395	49ddcfd761e8dd81df85069f991eb889d41b9b233625a6e284eca6210d04c813	collection_record
population_addendum/inputs/selected_reads/SRR23343440/collection.json	https://www.ebi.ac.uk/ena/browser/view/SRR23343440	1580	e15825e5bb9d4e744de12743529a8fb74e21748a06a6d14141ec825399c20649	collection_record
population_addendum/inputs/selected_reads/SRR23343441/SRR23343441_1.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/041/SRR23343441/SRR23343441_1.fastq.gz	493415	c8b60c429f3824fd8c5eb38618110c83fa60d460583ba35e4176424c0be507e8	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343441/SRR23343441_2.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/041/SRR23343441/SRR23343441_2.fastq.gz	493415	3c2af51e7343e4d4d3d7afe2ece710e61ebb35e8bdefb1ca66ef3a9733959221	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343441/bbduk.log	https://www.ebi.ac.uk/ena/browser/view/SRR23343441	1392	d4833abb9766cf80a671fd2ed5974f0b4fca12ef95377e798d14e32521722767	collection_record
population_addendum/inputs/selected_reads/SRR23343441/collection.json	https://www.ebi.ac.uk/ena/browser/view/SRR23343441	1579	9defa0655a2d3eecf6a64cf552b358d36b692bf81f4aa31da3af39e31b303a2a	collection_record
population_addendum/inputs/selected_reads/SRR23343442/SRR23343442_1.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/042/SRR23343442/SRR23343442_1.fastq.gz	808745	0d25631538036d352637e4f6bc9426b5058fda5829a3ec4ee2e55024c395db1c	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343442/SRR23343442_2.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/042/SRR23343442/SRR23343442_2.fastq.gz	808745	304adf91ae3205a86eb5810364fe5c1ab4c673838dc52dae5e257ec32414b89e	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343442/bbduk.log	https://www.ebi.ac.uk/ena/browser/view/SRR23343442	1396	2e336b55ee379233c237a82cf31cc54bfb5c0fcdd1862a79ce34268f8c2b5ff3	collection_record
population_addendum/inputs/selected_reads/SRR23343442/collection.json	https://www.ebi.ac.uk/ena/browser/view/SRR23343442	1581	12f4f637ee2aa442baf5ba2fde307545c052a29067f4c1d274989edab22a4118	collection_record
population_addendum/inputs/selected_reads/SRR23343443/SRR23343443_1.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/043/SRR23343443/SRR23343443_1.fastq.gz	421634	0d98fdb67dfc059e6d1d72b24857a4465f1bb6d12769425031441269b355142e	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343443/SRR23343443_2.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/043/SRR23343443/SRR23343443_2.fastq.gz	421634	e961ec7acb309e117bee3d5aa7895ad0b2aced1217ba19e105c938e2c899b70d	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343443/bbduk.log	https://www.ebi.ac.uk/ena/browser/view/SRR23343443	1391	45a4cc20bd5a9cad4efdf2c66f3ef2300c77613ae8f41a518e46e9fc8cfdfd3b	collection_record
population_addendum/inputs/selected_reads/SRR23343443/collection.json	https://www.ebi.ac.uk/ena/browser/view/SRR23343443	1579	4da6f38493e704b5af758ad033a334b2d7e6a2f2fb335157bd50925e4547ddb8	collection_record
population_addendum/inputs/selected_reads/SRR23343444/SRR23343444_1.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/044/SRR23343444/SRR23343444_1.fastq.gz	393387	46f6e8032786181b00363edbfa4c35060420b6703335c3a07c140fe0a4e0ae55	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343444/SRR23343444_2.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/044/SRR23343444/SRR23343444_2.fastq.gz	393387	57e775c5836b268a0b22ecdbe1e3893c07c38a5188717e378b9c7c72fb696e25	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343444/bbduk.log	https://www.ebi.ac.uk/ena/browser/view/SRR23343444	1394	bedf84afc4b3b711d4ce7ca3e37d2ead013d02ff861cb754f88c654696dabe90	collection_record
population_addendum/inputs/selected_reads/SRR23343444/collection.json	https://www.ebi.ac.uk/ena/browser/view/SRR23343444	1580	2f27bafab007ae85a91cb172977f920e5710437553ed95e15030ce1b7032bc4d	collection_record
population_addendum/inputs/selected_reads/SRR23343445/SRR23343445_1.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/045/SRR23343445/SRR23343445_1.fastq.gz	663235	7b606832dbf181073b6271aad273e5a76f9e5b6dcedfdd772ab611b20bc5def4	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343445/SRR23343445_2.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/045/SRR23343445/SRR23343445_2.fastq.gz	663235	9885a134ee8e22f59131320fcc928595cfdd8bd20aef543b289d0c33d445973f	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343445/bbduk.log	https://www.ebi.ac.uk/ena/browser/view/SRR23343445	1394	cb2d9c46b41dc45a5a46c3dfa2fa377d9360e74f6ac56da06bd72ca6aa78b28d	collection_record
population_addendum/inputs/selected_reads/SRR23343445/collection.json	https://www.ebi.ac.uk/ena/browser/view/SRR23343445	1580	e5712f2395feb3ce583b7eaad30057431f3cb5c7426071fe2eb10f9c6932c528	collection_record
population_addendum/inputs/selected_reads/SRR23343446/SRR23343446_1.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/046/SRR23343446/SRR23343446_1.fastq.gz	448931	37c209a70ae843e20bc0df29210ba527a3ea72960e603d196a92d35bee74aacb	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343446/SRR23343446_2.fastq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/046/SRR23343446/SRR23343446_2.fastq.gz	448931	87b92475c8a5f8a3b1fd79f544b4033f4ee02ff8be543c2b037cc3fb1e70d7ae	selected_original_reads
population_addendum/inputs/selected_reads/SRR23343446/bbduk.log	https://www.ebi.ac.uk/ena/browser/view/SRR23343446	1390	81606e110406306299c5d4e4dbd32e4df2ba989cde663faf0a7dcec1d4702179	collection_record
population_addendum/inputs/selected_reads/SRR23343446/collection.json	https://www.ebi.ac.uk/ena/browser/view/SRR23343446	1579	1c840c40c115dab7d3456870160da54523c72f188f1b79fe8948f2d592459085	collection_record
